ID,topic_id,topic,question,answer
85,114,adobe indian houses,do you need any specific information about people who resided in adobe houses,no i need to know how the adobe houses were built
86,114,adobe indian houses,do you want information about the construction of adobe houses,yes please
87,114,adobe indian houses,do you want to know about pueblo hopi or american indian houses,yes and how they built them
88,114,adobe indian houses,do you want to know what adobe indian houses are made out of,no i want to know how one builds an adobe indian house
89,114,adobe indian houses,do you want to know where to find adobe indian houses,i need to build them not find them
90,114,adobe indian houses,do you want to learn how an adobe indian house is made,yes
91,114,adobe indian houses,,
92,114,adobe indian houses,are you going to purchase any specific product related to your search,no
93,114,adobe indian houses,do you wish to know the location of native american houses,i would like general information about indian tribes that used adobe houses
94,114,adobe indian houses,what type of adobe indian house are you looking for,no i want information about which indian tribes used adobe houses
95,114,adobe indian houses,are you looking for pictures of adobe indian houses,yes and which tribes used them
96,114,adobe indian houses,are you looking for a tour of adobe indian houses,yes that would be nice
97,114,adobe indian houses,are you looking for pictures of adobe indian houses,no id like to know about indian tribes that lived in adobe houses
98,114,adobe indian houses,do you need any specific information about people who resided in adobe houses,no just which tribes built and lived in them
99,114,adobe indian houses,do you want information about the construction of adobe houses,no i just want to know which indian tribes constructed them
100,114,adobe indian houses,do you want to know about pueblo hopi or american indian houses,yes if they used adobe houses
101,114,adobe indian houses,do you want to know what adobe indian houses are made out of,no which indian tribes lived in them
102,114,adobe indian houses,do you want to know where to find adobe indian houses,no i want to find information on which tribes built adobe houses
103,114,adobe indian houses,do you want to learn how an adobe indian house is made,no i want to know more about the tribes that used them
104,114,adobe indian houses,,
105,114,adobe indian houses,are you going to purchase any specific product related to your search,possibly what video guides for adobe houses do you have
106,114,adobe indian houses,do you wish to know the location of native american houses,no i want to find books videos andor cds about how to construct adobe buildings
107,114,adobe indian houses,what type of adobe indian house are you looking for,i am interested in ordering books or videoscds about how to construct adobe buildings
108,114,adobe indian houses,are you looking for pictures of adobe indian houses,no i want to know where i can purchase books on how to make adobe buildings
109,114,adobe indian houses,are you looking for a tour of adobe indian houses,no i want to learn how to build them through a book or video
110,114,adobe indian houses,are you looking for pictures of adobe indian houses,yes and books and videos on how to build them
111,114,adobe indian houses,do you need any specific information about people who resided in adobe houses,no
112,114,adobe indian houses,do you want information about the construction of adobe houses,yes i am looking for books or videos about constructing adobe buildings
113,114,adobe indian houses,do you want to know about pueblo hopi or american indian houses,yes specifically how to build adobe houses
114,114,adobe indian houses,do you want to know what adobe indian houses are made out of,yes and other video guides or books on how to build one
115,114,adobe indian houses,do you want to know where to find adobe indian houses,i do not know where to find them but i would like to find out
116,114,adobe indian houses,do you want to learn how an adobe indian house is made,i wants to find books on it
117,114,adobe indian houses,,
118,116,california franchise tax board,are you looking for legal forms,possibly i need general information on the california franchise tax board
119,116,california franchise tax board,do you wish to do an entity search,yes do one on the california franchise tax board
120,116,california franchise tax board,are you looking for payment information,no i want general information about the california franchise tax board
121,116,california franchise tax board,are you trying to login to the boards website,no i want information about the board
122,116,california franchise tax board,do you need specific forms to fill out,no i want to know any information about the california franchise tax board
123,116,california franchise tax board,do you want a phone number,no i want general information
124,116,california franchise tax board,do you want contact information for the board,yes and other general information on them
125,116,california franchise tax board,do you want information on the tax board,yes i do
126,116,california franchise tax board,do you want to know the address,yes and other information like contact
127,116,california franchise tax board,do you want to know their hours of operation,yes and give me other general information on them
128,116,california franchise tax board,,
129,116,california franchise tax board,are you looking for legal forms,maybe i want to find out how to register as a tax preparer
130,116,california franchise tax board,do you wish to do an entity search,no i want to register as a tax preparer
131,116,california franchise tax board,are you looking for payment information,no just to register
132,116,california franchise tax board,are you trying to login to the boards website,i do need to do something on the website but its beyond just logging in there
133,116,california franchise tax board,do you need specific forms to fill out,yes as long as they relate to how to register as a tax preparer
134,116,california franchise tax board,do you want a phone number,no i need registration information
135,116,california franchise tax board,do you want contact information for the board,yes and steps on how to register as a tax preparer
136,116,california franchise tax board,do you want information on the tax board,no i need know how to register as a tax preparer
137,116,california franchise tax board,do you want to know the address,no id like information about how to register as a tax preparer
138,116,california franchise tax board,do you want to know their hours of operation,no
139,116,california franchise tax board,,
140,116,california franchise tax board,are you looking for legal forms,no i am looking for a phone number or email address for californias franchise tax board
141,116,california franchise tax board,do you wish to do an entity search,yes if it reveals the contact information for the california ftb
142,116,california franchise tax board,are you looking for payment information,no i would like contact inforamtion for the california ftb
143,116,california franchise tax board,are you trying to login to the boards website,no i need contact information
144,116,california franchise tax board,do you need specific forms to fill out,no i need their contact information please
145,116,california franchise tax board,do you want a phone number,yes plus other contact information
146,116,california franchise tax board,do you want contact information for the board,yes i do
147,116,california franchise tax board,do you want information on the tax board,yes i need contact information
148,116,california franchise tax board,do you want to know the address,yes i want their contact information
149,116,california franchise tax board,do you want to know their hours of operation,no i just need their contact information
150,116,california franchise tax board,,
151,116,california franchise tax board,are you looking for legal forms,yes i am looking for tax forms and information about filing
152,116,california franchise tax board,do you wish to do an entity search,no
153,116,california franchise tax board,are you looking for payment information,no i just need tax forms and information on filing individual taxes
154,116,california franchise tax board,are you trying to login to the boards website,no
155,116,california franchise tax board,do you need specific forms to fill out,yes i need forms to file taxes
156,116,california franchise tax board,do you want a phone number,no id like information about filing individual taxes in california
157,116,california franchise tax board,do you want contact information for the board,no i am looking for tax forms and other information on filing individual taxes
158,116,california franchise tax board,do you want information on the tax board,no just forms
159,116,california franchise tax board,do you want to know the address,no i would like tax forms
160,116,california franchise tax board,do you want to know their hours of operation,no i would like to find tax forms and other information on filing individual taxes
161,116,california franchise tax board,,
162,127,dutchess county tourism,are you interested in the farm fresh tours,i am looking for information for tourists about ducthess county ny
163,127,dutchess county tourism,where in specific in dutchess county were you curious about,na
164,127,dutchess county tourism,what activities in dutchess county were you interested in,anything give me general tourism information
165,127,dutchess county tourism,are you looking for a job in dutchess county in regards to tourism,no just information for tourists there
166,127,dutchess county tourism,are you looking for information related to tourism,yes i am
167,127,dutchess county tourism,are you seeking an event calendar for dutchess county,yes and other tourist information
168,127,dutchess county tourism,did you want to know about the dutchess county tourism center,maybe but i also need tourist information for dutchess county
169,127,dutchess county tourism,did you want to know the amount of tourism dutchess county gets,no i am looking for tourist attractions in dutchess county new york
170,127,dutchess county tourism,do you want a job in dutchess county,no i want information for tourists in dutchess county ny
171,127,dutchess county tourism,do you want to move to dutchess county,no i just want information about tourists there
172,127,dutchess county tourism,what tourist spots are you looking for in dutchess county,i dont know
173,127,dutchess county tourism,,
174,127,dutchess county tourism,are you interested in the farm fresh tours,no i want the website for dutchess county tourism
175,127,dutchess county tourism,where in specific in dutchess county were you curious about,nowhere in particalur i would like the webpage for tourism
176,127,dutchess county tourism,what activities in dutchess county were you interested in,this is not related to my search
177,127,dutchess county tourism,are you looking for a job in dutchess county in regards to tourism,no i just need the homepage of the website
178,127,dutchess county tourism,are you looking for information related to tourism,yes to be specific i want a certain tourism website
179,127,dutchess county tourism,are you seeking an event calendar for dutchess county,not only that but it might be contained in the information i am looking for
180,127,dutchess county tourism,did you want to know about the dutchess county tourism center,yes i want a link to their homepage
181,127,dutchess county tourism,did you want to know the amount of tourism dutchess county gets,no just the website of tourism
182,127,dutchess county tourism,do you want a job in dutchess county,no
183,127,dutchess county tourism,do you want to move to dutchess county,no i would just like information on the tourism home page
184,127,dutchess county tourism,what tourist spots are you looking for in dutchess county,i just want their homepage
185,127,dutchess county tourism,,
186,140,east ridge high school,are you interested in east ridge high school latest news,no just demographics information
187,140,east ridge high school,do you need the address of east ridge high school,i need the race information on the students of east ridge high school located in lick creek kentucky
188,140,east ridge high school,in which state are you looking for east ridge high school,kentucky
189,140,east ridge high school,what information about east ridge high school are you looking for,i want demographic information
190,140,east ridge high school,are you looking for east ridge high school activities,no i want to know the demographics
191,140,east ridge high school,are you looking for east ridge high school in woodbury mn,no im looking for the demographics of east ridge high school in lick creek kentucky
192,140,east ridge high school,are you looking for a specific web site,no
193,140,east ridge high school,are you looking for information about the sports facilities at the school,no i want to know what the demographics are for east ridge highin lick creekkentucky
194,140,east ridge high school,are you seaching for east ridge high school community education,no i am looking for demographics of east ridge high school in lick creek kentucky
195,140,east ridge high school,are you searching for east ridge high school football schedule,no
196,140,east ridge high school,are you searching for east ridge high school located in clermont fl,no i am searching for east ridge high school in lick creek ky
197,140,east ridge high school,do you need directions to east ridge high school,no i need the demographics of east ridge high school in lick creek kentucky
198,140,east ridge high school,,
199,140,east ridge high school,are you interested in east ridge high school latest news,just take me to the homepage
200,140,east ridge high school,do you need the address of east ridge high school,i dont know i am looking for the home page for east ridge high school
201,140,east ridge high school,in which state are you looking for east ridge high school,tennessee
202,140,east ridge high school,what information about east ridge high school are you looking for,i want to go to the high schoo
203,140,east ridge high school,are you looking for east ridge high school activities,no i am looking for the schools homepage
204,140,east ridge high school,are you looking for east ridge high school in woodbury mn,no i am looking for the one in chattanooga tennessee
205,140,east ridge high school,are you looking for a specific web site,yes i want the home page for east rigde high school
206,140,east ridge high school,are you looking for information about the sports facilities at the school,no i just need the general home page
207,140,east ridge high school,are you seaching for east ridge high school community education,yes i am
208,140,east ridge high school,are you searching for east ridge high school football schedule,no please help me find the home page for east ridge high school located in chattanooga tennessee
209,140,east ridge high school,are you searching for east ridge high school located in clermont fl,no i am looking for the one in east
210,140,east ridge high school,do you need directions to east ridge high school,no
211,140,east ridge high school,,
212,140,east ridge high school,are you interested in east ridge high school latest news,no im interested in information about the sports program at east ridge high school
213,140,east ridge high school,do you need the address of east ridge high school,no i want to know which sports programs the school offers
214,140,east ridge high school,in which state are you looking for east ridge high school,florida
215,140,east ridge high school,what information about east ridge high school are you looking for,im looking for information about their sports program
216,140,east ridge high school,are you looking for east ridge high school activities,yes the sports programs
217,140,east ridge high school,are you looking for east ridge high school in woodbury mn,no i want information about sports at the east ridge high in clermont fl
218,140,east ridge high school,are you looking for a specific web site,yes i am looking for the page for the sports program at east ridge high school in clermont florida
219,140,east ridge high school,are you looking for information about the sports facilities at the school,no i want to know about the sports programs as east ridge high school in clermont florida
220,140,east ridge high school,are you seaching for east ridge high school community education,no i need to know about the sports program
221,140,east ridge high school,are you searching for east ridge high school football schedule,no information on the different sporting activities
222,140,east ridge high school,are you searching for east ridge high school located in clermont fl,yes
223,140,east ridge high school,do you need directions to east ridge high school,not related to queryquestion
224,140,east ridge high school,,
225,140,east ridge high school,are you interested in east ridge high school latest news,no i am looking for a description of the sports facilities at east ridge high school in woodbury mn
226,140,east ridge high school,do you need the address of east ridge high school,no i am interested in knowing about the sports facilities at east ridge high school
227,140,east ridge high school,in which state are you looking for east ridge high school,mn
228,140,east ridge high school,what information about east ridge high school are you looking for,i am interested in a description of the sports facilities at east ridge high school in woodbury mn
229,140,east ridge high school,are you looking for east ridge high school activities,yes on their sports facilities
230,140,east ridge high school,are you looking for east ridge high school in woodbury mn,no i am looking for a description of the sports facilities at east ridge high school in woodbury mn
231,140,east ridge high school,are you looking for a specific web site,no just a description of the facilities
232,140,east ridge high school,are you looking for information about the sports facilities at the school,yes give me a description of them
233,140,east ridge high school,are you seaching for east ridge high school community education,no i am looking for the sports facilities at east ridge high school not community education
234,140,east ridge high school,are you searching for east ridge high school football schedule,i dont know
235,140,east ridge high school,are you searching for east ridge high school located in clermont fl,no i am looking for the one in woodbury mn
236,140,east ridge high school,do you need directions to east ridge high school,i want to know what the athletic facilities are like at this school
237,140,east ridge high school,,
238,15,espn sports,are you looking for information on a specific league,yes i am looking for ncaa football and basketball scores
239,15,espn sports,do you want to know about special events on espn,no just college football and basketball scores
240,15,espn sports,do you want to know what channel espn is,no
241,15,espn sports,do you want to know when espn started,no i need to get college game scores
242,15,espn sports,do you want to know who owns espn,no  i want football and basketball scores
243,15,espn sports,do you wnat sports scores,yes i want college and basketball scores
244,15,espn sports,what sport are you interested in,i am interested in college basketball and football scores
245,15,espn sports,are you looking for information on a specific sport,yes i want scores for both football and basketball games
246,15,espn sports,are you looking for standings of a specific sport,yes i am looking for college football and basketball scores specifically
247,15,espn sports,do you want espn sports corporate information,no
248,15,espn sports,do you want an espn sports schedule,no i only want football and basketball scores
249,15,espn sports,do you want information about espn sports personalities,no i want the scores for college football and basketball games
250,15,espn sports,do you want information about espn sports programming in languages other than english,no
251,15,espn sports,do you want information about a specific espn sports program,no i want the scores of games for college football and basketball
252,15,espn sports,do you want information about which sports espn covers,noim looking for college football and basketball scores
253,15,espn sports,,
254,15,espn sports,are you looking for information on a specific league,yes i need nba standings
255,15,espn sports,do you want to know about special events on espn,no i would like to see the current standings in the nba
256,15,espn sports,do you want to know what channel espn is,no i want nba basketball standings
257,15,espn sports,do you want to know when espn started,no i want nba basketball standings
258,15,espn sports,do you want to know who owns espn,no i want to know current nba standings
259,15,espn sports,do you wnat sports scores,no i am looking for standings
260,15,espn sports,what sport are you interested in,i am into the nba please find me the leagues current standings
261,15,espn sports,are you looking for information on a specific sport,yes find nba standings
262,15,espn sports,are you looking for standings of a specific sport,i want to know about nba basketball standings
263,15,espn sports,do you want espn sports corporate information,no im looking for nba basketball standings
264,15,espn sports,do you want an espn sports schedule,no i am interested in nba basketball standings
265,15,espn sports,do you want information about espn sports personalities,no i would like specific information on rankings and scores
266,15,espn sports,do you want information about espn sports programming in languages other than english,no i am looking for the nba basketball rankings and scores
267,15,espn sports,do you want information about a specific espn sports program,no
268,15,espn sports,do you want information about which sports espn covers,no i want to see nba basketball standings
269,15,espn sports,,
270,15,espn sports,are you looking for information on a specific league,i dont know
271,15,espn sports,do you want to know about special events on espn,i want to see upcoming baseball games and scores
272,15,espn sports,do you want to know what channel espn is,no
273,15,espn sports,do you want to know when espn started,no i want baseball scores and upcoming live broadcast baseball games
274,15,espn sports,do you want to know who owns espn,no
275,15,espn sports,do you wnat sports scores,yes i want scores
276,15,espn sports,are you looking for information on a specific sport,yes baseball 
277,15,espn sports,are you looking for standings of a specific sport,i am looking for baseball scores and upcoming baseball games
278,15,espn sports,do you want espn sports corporate information,no i would like baseball scores and the schedule for the live broadcasts of games that are coming up
279,15,espn sports,do you want an espn sports schedule,no i am interested in baseball scored and upcoming live games
280,15,espn sports,do you want information about espn sports personalities,no
281,15,espn sports,do you want information about espn sports programming in languages other than english,no can you just give me baseball scores and tell me about upcoming live broadcast games
282,15,espn sports,do you want information about a specific espn sports program,yes i want information about baseball
283,15,espn sports,do you want information about which sports espn covers,no i am looking for baseball information only
284,15,espn sports,,
285,15,espn sports,are you looking for information on a specific league,im looking for na
286,15,espn sports,do you want to know about special events on espn,no i am looking for nascar races only
287,15,espn sports,do you want to know what channel espn is,no im looking for information on nascar races
288,15,espn sports,do you want to know when espn started,this is not related to my search
289,15,espn sports,do you want to know who owns espn,no i want information on nascar races
290,15,espn sports,do you wnat sports scores,no i am looking for general information on nascar races
291,15,espn sports,what sport are you interested in,am interested in nascar
292,15,espn sports,are you looking for information on a specific sport,yes i need information on nascar races
293,15,espn sports,are you looking for standings of a specific sport,yes nascar
294,15,espn sports,do you want espn sports corporate information,no i want information on nascar races
295,15,espn sports,do you want an espn sports schedule,no
296,15,espn sports,do you want information about espn sports personalities,no nascar races
297,15,espn sports,do you want information about espn sports programming in languages other than english,no
298,15,espn sports,do you want information about a specific espn sports program,yes i want information on nascar races
299,15,espn sports,do you want information about which sports espn covers,yes the race car race known as nascar
300,15,espn sports,,
301,15,espn sports,are you looking for information on a specific league,no general information on fantasy football leagues is what i need
302,15,espn sports,do you want to know about special events on espn,no i would like to know about fantasy football leagues
303,15,espn sports,do you want to know what channel espn is,no i want information on fantasy football leagues
304,15,espn sports,do you want to know when espn started,no tell me about fantasy football leagues
305,15,espn sports,do you want to know who owns espn,no i only want information on fantasy football leagues
306,15,espn sports,do you wnat sports scores,no
307,15,espn sports,what sport are you interested in,not a relevant question for my query
308,15,espn sports,are you looking for information on a specific sport,yes am looking for information on fantasy football leagues
309,15,espn sports,are you looking for standings of a specific sport,yes  fantasy football leagues
310,15,espn sports,do you want espn sports corporate information,no i want information on fantasy football leagues
311,15,espn sports,do you want an espn sports schedule,no i want information of fantasy football leagues
312,15,espn sports,do you want information about espn sports personalities,no i want to learn about fantasy football
313,15,espn sports,do you want information about espn sports programming in languages other than english,no i would like information on fantasy football leagues
314,15,espn sports,do you want information about a specific espn sports program,yes fantasy football leagues
315,15,espn sports,do you want information about which sports espn covers,no just info on fantasy football leagues
316,15,espn sports,,
317,150,tn highway patrol,are you curious about the employment opportunies at the tennesse highway patrol,right now i am only interested in what is required to become a tennessee highway patrol state trooper
318,150,tn highway patrol,do you need the number of patrols cars used by the tn highway patrol,no
319,150,tn highway patrol,do you want to know how many employees work for the tn highway patrol,no i would like to know how to become a tn highway patrol
320,150,tn highway patrol,do you want to know if the tennessee highway patrol has reported any accidents,no i want to know how to become a state trooper in tn
321,150,tn highway patrol,would you like me to contact them for you,no i want to know how to become a tn highway patrol state trooper
322,150,tn highway patrol,would you like to know how many tickets they right ever year,no please tell me the requirements to be a tennessee highway patrol state trooper
323,150,tn highway patrol,would you like to know more about their responsibilities,no i need to know what is required to become a state trooper
324,150,tn highway patrol,are you interested in how much a patrol officer makes per year,no i want to know how to become one
325,150,tn highway patrol,are you interested in knowing the avergae salary of an employee of the tennessee highway patrol,no i want to know what is required to become a patrol state trooper of the tennessee highway
326,150,tn highway patrol,are you interested in knowing where the tennesse high patrol check points,no just how to become a state trooper
327,150,tn highway patrol,are you interested in who is in charge of the tn highway patrol,no i wqnt to know what the requirements are to become a tennessee patrol state trooper
328,150,tn highway patrol,are you interested to fill a survey for them,no i want to know requirements in order to become a tennesse highway patrol state trooper
329,150,tn highway patrol,are you looking for a specific web site,no
330,150,tn highway patrol,did you want to be informed as to whre the tennesse highway patrol academy is located,no i want to know what the requirements are for becoming a tennessee highway patrol state trooper
331,150,tn highway patrol,did you want to know what the tenessee highway patrol cars look like,no i want to know about the requirements for joining them
332,150,tn highway patrol,,
333,150,tn highway patrol,are you curious about the employment opportunies at the tennesse highway patrol,no i am curious about their responsibilities
334,150,tn highway patrol,do you need the number of patrols cars used by the tn highway patrol,no i just want to know about their responsibilites
335,150,tn highway patrol,do you want to know how many employees work for the tn highway patrol,yes i would like to know all general information about the tn highway patrol
336,150,tn highway patrol,do you want to know if the tennessee highway patrol has reported any accidents,no that wouldnt help
337,150,tn highway patrol,would you like me to contact them for you,no i just want to know about their responsibilities
338,150,tn highway patrol,would you like to know how many tickets they right ever year,and other information
339,150,tn highway patrol,would you like to know more about their responsibilities,yes i would like more information on the responsibilities of the tennessee highway patrol
340,150,tn highway patrol,are you interested in how much a patrol officer makes per year,no tell me the responsibilities of the tennessee highway patrol
341,150,tn highway patrol,are you interested in knowing the avergae salary of an employee of the tennessee highway patrol,no please just tell me their general responsibilities
342,150,tn highway patrol,are you interested in knowing where the tennesse high patrol check points,just information on it
343,150,tn highway patrol,are you interested in who is in charge of the tn highway patrol,i need more information about the responsibilities of the tennessee highway patrol
344,150,tn highway patrol,are you interested to fill a survey for them,no i just want information on them
345,150,tn highway patrol,are you looking for a specific web site,yes tennesee highway patrol
346,150,tn highway patrol,did you want to be informed as to whre the tennesse highway patrol academy is located,no i want information about their job duties
347,150,tn highway patrol,did you want to know what the tenessee highway patrol cars look like,no i need responsibilities of the highway patrol
348,150,tn highway patrol,,
349,150,tn highway patrol,are you curious about the employment opportunies at the tennesse highway patrol,no
350,150,tn highway patrol,do you need the number of patrols cars used by the tn highway patrol,id like to visit the tennessee highway patrols homepage
351,150,tn highway patrol,do you want to know how many employees work for the tn highway patrol,i need the website for the tn highway patrol
352,150,tn highway patrol,do you want to know if the tennessee highway patrol has reported any accidents,yes
353,150,tn highway patrol,would you like me to contact them for you,i am just looking for the homepage on the internet
354,150,tn highway patrol,would you like to know how many tickets they right ever year,no just take me to their homepage
355,150,tn highway patrol,would you like to know more about their responsibilities,yes i would like to know more about their services and responsibilites
356,150,tn highway patrol,are you interested in how much a patrol officer makes per year,yes but i would like to be connected to the tn highway patrol homepage
357,150,tn highway patrol,are you interested in knowing the avergae salary of an employee of the tennessee highway patrol,no i am looking for their home page
358,150,tn highway patrol,are you interested in knowing where the tennesse high patrol check points,no their home page
359,150,tn highway patrol,are you interested in who is in charge of the tn highway patrol,no but i would like their home page
360,150,tn highway patrol,are you interested to fill a survey for them,not at thois time just take me to their hompage
361,150,tn highway patrol,are you looking for a specific web site,yes the home page of the tennessee highway patrol
362,150,tn highway patrol,did you want to be informed as to whre the tennesse highway patrol academy is located,i just need to visit the tennissee highway patrol website
363,150,tn highway patrol,did you want to know what the tenessee highway patrol cars look like,no i want to homepage for the tennesee highway patrol
364,150,tn highway patrol,,
