topic_id,topic,Baseline,Proposed,question
70,to be or not to be that is the question,What specific situation are you referring to when asking about whether it's better to exist or not in this context?,"What existential dilemma is ""to be or not to be"" referring to?",are you interested in shakespeares plays
71,living in india,"Where specifically are you referring to when mentioning ""living in India""?",What climate zones does India have?,are you interested in buying a house in india
72,the sun,"The sun is a star, right?",What solar system object is the largest object in the solar system?,are you interested in objects orbiting the sun
73,neil young,"Who is Neil Young, what kind of music does he make, and can you provide some examples of his songs?",What guitar playing techniques has Neil Young mastered?,are you interested in neil youngs history
74,kiwi,"A useful follow-up question to clarify the query about ""kiwi"" could be, ""What specific information are you looking for regarding kiwis, such as their origin, nutritional content, or unique characteristics?",What scientific classification belongs to the kiwi?,are you interested in images of the kiwi fruit
75,tornadoes,In which region or country are you primarily interested in learning about tornadoes?,What type of damage assessment is typically conducted after a tornado event?,are there any specific media type on your mind shall i play a video of tornadoes
76,raised gardens,"One useful follow-up question to clarify the query would be, ""Can you provide more details about what type of raised garden beds you are referring to?",What soil preparation tips should I follow for raising a successful garden?,are you looking for any specific photos
77,bobcat,What kind of habitat do bobcats typically inhabit?,What genus and family does the bobcat belong to?,are you in interested in the animal or the manufacturing company
78,dieting,"One useful follow-up question to clarify the query would be, ""What specific dietary goals or restrictions are you looking to achieve through dieting?",What weight loss goals do you have in mind for your dieting plan?,are you interested in reading more about the health benefits of dieting
79,voyager,"One useful follow-up question to clarify the query would be, ""What specific information about the Voyager space probes are you looking for?",What seven-year mission explored the solar system?,are you interested in the history of the voyager
8,appraisals,"One useful follow-up question to clarify the query would be, ""Can you provide more details about what type of appraisals you are looking for?",What are the steps involved in the appraisal process?,are you looking for a type of appraiser
80,keyboard reviews,"Which type of keyboards are you interested in reviewing, such as mechanical, membrane, or wireless?",What build durability features should I consider when reviewing keyboards?,are you interested in digital pianos
81,afghanistan,In which region of Afghanistan are you primarily interested in learning more about?,"What is the population of Afghanistan, what is its economy like, and which political system does it follow?",are you looking for a map of afghanistan
82,joints,What type of joints are you looking for information on?,What types of joints are there?,are you asking about cannabis
83,memory,What specific type of memory are you referring to?,What is the definition of memory?,are you interested in computer memory
84,continental plates,"Which specific type of continental plates are you referring to, such as tectonic plates or lithospheric plates?",What movement patterns define the boundaries of continental plates?,are yoiu looking for information on plate tectonics
85,milwaukee journal sentinel,The Milwaukee Journal Sentinel is a daily newspaper based in which city?,What newspaper has been published in Milwaukee since its founding?,are you interested in a subscription to the milwaukee journal sentinel
86,bart sf,Where is Bart located in San Francisco?,What Bart fares are available from SF to other cities?,are you interested in bart sf the company
87,who invented music,Who was the specific individual or group of individuals responsible for inventing music?,What country was music originally invented in?,are you interested in music streaming
88,forearm pain,"One useful follow-up question to clarify the query about forearm pain could be, ""What specific activities or movements have you noticed causing discomfort in your forearm?",What causes and types of forearm pain should I be aware of?,are you having forearm pain
89,ocd,"What specific symptoms or behaviors are associated with OCD, and how might they impact an individual's daily life?",What types of symptoms are commonly associated with OCD?,are you interested in ocd in children
9,used car parts,"Where can I find high-quality, affordable used car parts for my specific make and model?",What quality assurance measures are taken to ensure the authenticity of used car parts before they are sold?,are you interested in a specific part
90,mgb,"The specific car model you're referring to is ""Morris Garages,"" right?",What small family vehicle is an MG?,are you interested in buying or selling an mgb
91,er tv show,Which specific type of TV show are you looking for?,What is the premiere date of the TV show?,are you interested in summaries of episodes of er tv show
92,the wall,"The wall is a term used in poker, but you didn't specify which version of poker or what aspect of it you want to know about. Could you please clarify if you are referring to Texas Hold'em, Omaha, Stud Poker, or","What material was used in the construction of The Wall, and what historical event is associated with its creation?",are you interested in a specific part of a home
93,raffles,"One useful follow-up question to clarify the query would be, ""Can you provide more details about what specifically you want to know about Raffles?",What historical events have been popular at Raffles?,are you interested in aj raffles
