topic_id,topic,question,Baseline,Proposed
116,california franchise tax board,are you looking for legal forms,What specific services or resources does the California Franchise Tax Board provide for businesses and individuals in the state?,"What led to the establishment of the California Franchise Tax Board, and what role has it played in shaping tax policies within the state?"
117,dangers of asbestos,are you asking about the dangers of asbestos siding,"the dangers of asbestos could be, ""What specific health risks are associated with exposure to asbestos?","What are some of the key environmental issues that need addressing in order to mitigate climate change, such as deforestation, pollution, and overconsumption?"
118,poem in your pocket day,are you interested in the canadian holiday,"What specific date or month is ""poem in your pocket day"" celebrated?","What types of items do you typically collect in your pocket, such as coins or small treasures?"
119,interview thank you,are you interested in example of thank you letters for interview,"""What specific aspects of an interview do you want to express gratitude for?",What is the applicant's full name?
12,djs,are you a dj,"A useful follow-up question to clarify the query could be, ""What specific type of DJs are you looking for?",What is the historical background of [insert subject/topic here] and how did it come to be?
120,tv on computer,are you interested in buying a tv with a computer included,"""Are you referring to streaming TV shows or playing local television broadcasts through your computer?","What types of devices or systems are compatible with your product, and how does it integrate with my current TV setup?"
121,sit and reach test,are you looking for information on how its scored,What specific criteria or guidelines are used to evaluate performance in the sit and reach test?,What is the purpose of the sit and reach test in assessing an individual's flexibility?
122,culpeper national cemetery,are you looking for the records for culpeper national cemetary,"The specific location of Culpeper National Cemetery, including its address or GPS coordinates.",What types of upland habitats can be found in the uplands of Yellowstone National Park?
123,von willebrand disease,are you interested in learning about treatments for von willebrand disease,"What specific type of Von Willebrand disease are you referring to, such as Type 1 or Type 2?",What are some of the causes and risk factors associated with Alzheimer's disease?
124,bowflex power pro,are you interested in purchasing it online,"What specific features or capabilities does the Bowflex Power Pro have, and how do they compare to other home gym systems?","What types of home gym equipment are available for purchase, and which ones would be most suitable for someone who is just starting out with working out at home?"
125,butter and margarine,are you interested in the the nutritional value of butter and margarine,"What is the main difference between butter and margarine in terms of their composition, production methods, and nutritional value?","What are some notable differences between product A and product B in terms of their features, performance, or target audience?"
126,us capitol map,are you interested in a map of capitol hill,"What specific features or areas would you like to see on the Capitol map, such as congressional districts, monuments, or building interiors?",What is the exact geographical location of the U.S. Capitol building?
127,dutchess county tourism,are you interested in the farm fresh tours,What specific attractions or activities are available in Dutchess County for tourists?,"What types of tourism resources are available in Dutchess County, such as attractions, outdoor activities, or cultural sites?"
128,atypical squamous cells,are you interested in a desciption of aytypical squamous cells,"What specific features or characteristics are associated with atypical squamous cells, and how might they differ from typical squamous cells?","Who are Barack Obama's parents, grandparents, and other ancestors?"
129,iowa food stamp program,are you interested in how much you can get from this program,What specific details or requirements are needed for someone to qualify for the Iowa Food Stamp Program?,"What were some key events or milestones in the establishment, expansion, and evolution of the Iowa Food Stamp Program?"
13,map,are you interested in cartography,What type of map are you looking for?,"What are some common types of data structures used in computer programming, such as arrays, linked lists, stacks, and queues?"
130,fact on uranus,are there any specific details that you are trying to find out,What specific features or characteristics of Uranus would you like more information about?,"What is the mechanism behind Uranus' unique magnetic field, which differs from that of other planets in our solar system?"
131,equal opportunity employer,are you looking for a specific web page,"An example of a useful follow-up question to clarify the query ""equal opportunity employer"" could be, ""What specific aspects of diversity and inclusion are you interested in learning more about regarding an organization's commitment to being an equal opportunity employer?",What is your ethnicity?
132,mothers day songs,are you interested in remembrance songs,"""What specific type of mothers day songs are you looking for (e.g., classic, contemporary, country, etc.)?",Which popular artist has had the most successful album in terms of sales?
133,all men are created equal,are you looking for declaration of independence at the national archives,"What specific principle or concept is being referred to when saying ""all men are created equal""?","What is the meaning of ""created"" in the context of [insert relevant concept or object]?"
134,electronic skeet shoot,are you interested to see images of it,"What type of electronic device or system is used for an electronic skeet shoot, such as a computer program or sensor technology?",What type of equipment is typically used?
135,source of the nile,are you interested in the origin of the nile,The Nile River originates from which specific location?,What is the source of the Nile River?
136,american military university,are you interested in learning more about tuition costs for the american military university,"""What specific information are you looking for regarding American Military University?","What is the accreditation body that grants recognition to your institution, and at what level of accreditation does it hold?"
137,rock and gem shows,are you curious about rock and gem shows,"What specific types of rocks or gems are featured in these shows, and what kind of displays or demonstrations can be expected?","What are some common examples of sedimentary, igneous, and metamorphic rocks?"
138,jax chemical company,are you interested in a specific type of product,What type of chemicals does Jax Chemical Company specialize in producing?,What industries does your company specialize in serving?
139,rocky mountain news,are you interested in news archives,"One useful follow-up question to clarify the query ""rocky mountain news"" could be, ""What specific region or area of the Rocky Mountains are you interested in learning about?",What is the format of the publication in which the research findings were presented?
14,dinosaurs,are you interested in coloring books,"Which type of dinosaur do you want to learn more about, like T-Rex or Stegosaurus?","What were the different types of habitats where dinosaurs lived, and what role did they play in their ecosystems?"
140,east ridge high school,are you interested in east ridge high school latest news,What specific location or type of East Ridge High School are you referring to?,What activities or organizations are available for students to get involved in on campus?
141,va dmv registration,are you interested in organ donation information,What type of vehicle do you need to register at the DMV?,What specific documents are required for obtaining a visa or work permit in [Country/Region]?
142,illinois state tax,are you interested in how the illinois state tax is determined,"What specific Illinois state taxes are there, such as income tax or sales tax?",What is the current federal income tax rate for individuals in the United States?
143,arkadelphia health club,are you looking for a 24 hour fitness center,What type of services or amenities does the Arkadelphia Health Club offer?,What membership options are available for joining the organization?
144,trombone for sale,are you interested in selling a trombone you own,What type of trombone is being sold?,"What is the seller's name, location, and contact details?"
145,vines for shade,are you looking for a flowering ivy,"Which specific types of vines are suitable for providing shade, and what factors should I consider when choosing them?",What type of sunlight exposure is ideal for the optimal growth of this plant?
146,sherwood regional library,are you looking for any specific information about the library,What type of resources does the Sherwood Regional Library offer for its patrons?,What is your email address?
147,tangible personal property tax,are you reffering to the federal or state tax,What specific type of tangible personal property is subject to taxation in your state?,What are the current taxation rates and brackets for individuals in [country/state]?
148,martha stewart and imclone,are you interested in martha stewarts role in the company,Who is Martha Stewart collaborating with in relation to ImClone?,What role did Martha Stewart play in the ImClone scandal?
149,uplift at yellowstone national park,are you interested in a specific aspect of uplift at yellowstone national park,What specific features or activities are available for experiencing uplift in Yellowstone National Park?,What is the location of Culpeper National Cemetery?
15,espn sports,are you looking for information on a specific league,"Which ESPN sports do you want to know more about, such as football, basketball, or baseball?",What are some examples of popular sports that can be found on ESPN?
150,tn highway patrol,are you curious about the employment opportunies at the tennesse highway patrol,"What specific type of highway patrol are you looking for, such as state or federal?","What were the primary motivations behind the establishment of highway patrol in various countries, and how have these evolved over time?"
151,403b,are you interested in any specific rules,What type of retirement plan is a 403b?,"What are the age, residency, or other eligibility requirements that must be met in order to participate in this event/program?"
152,angular cheilitis,are asking what the symptoms are for angular cheilits,What specific symptoms or causes are associated with angular cheilitis?,What are the common symptoms associated with [illness or condition] that led to its diagnosis?
153,pocono,are you interested in lodgings,Which Pocono do you want to know about?,What is the capital city of [country name] and what are its geographical features?
154,figs,are you interested in figs health benefits,"Which type of fig are you referring to, such as common figs (Ficus), or any other specific variety?","What are the optimal temperature, humidity, and light requirements for promoting healthy growth of [plant species] under indoor growing conditions?"
155,last supper painting,are you interested in the history of the last supper painting,"The specific location of the Last Supper painting, such as its current or former location in Italy.","What medium did the artist use to create this painting, and how did they apply it in their artistic process?"
156,university of phoenix,are you interested in comparing university of phoenix with other universities in any specific aspect,What specific program or degree do you want to know more about at the University of Phoenix?,What is the name of the university or college located on that particular campus?
157,the beatles rock band,are you interested in a specifc song from the beatles,What specific features or gameplay elements are included in The Beatles Rock Band game?,What techniques were used in the graphics and sound design of the game to create an immersive experience for players?
158,septic system design,ae you looking for examples of septic system design,"""Can you provide more details on what specific aspects of septic system design you are interested in learning about?",What is the soil type and capacity of the land where you plan to build your garden?
159,porterville,are you interested in schools in poterville,Where is Porterville located?,"What is the population of Porterville, California?"
16,arizona game and fish,are you looking for a specific web page,"What type of organization is the Arizona Game and Fish, and what services or resources does it provide to the public?",What initiatives or organizations are working towards wildlife conservation in Arizona?
160,grilling,are you interested in a recipe for grilled chicken,What type of grill do you have in mind for your cooking purposes?,What type of equipment is necessary for setting up an indoor climbing wall?
161,furniture for small spaces,are you interesting in buying furniture,"What specific types of furniture are suitable for small living spaces, such as apartments or compact homes?",What design elements or principles can be incorporated into small space designs to create an aesthetically pleasing and visually appealing atmosphere?
162,dnr,are you referring to the company or the term do not resuscitate,What specific type of DNR are you referring to?,What medical conditions or treatments are commonly associated with the use of this medication?
163,arkansas,are you interested in learning about arkansas,What specific region or city in Arkansas are you referring to?,What is the capital city of [country name] located in?
164,hobby stores,are you looking for a radiocontrolled plane,Which type of hobbies do you have in mind for visiting a hobby store?,What are some of your favorite hobbies or activities that you enjoy doing in your free time?
165,blue throated hummingbird,are you curious about the size,What specific features or characteristics of the Blue-throated Hummingbird are you interested in learning more about?,"What are some common physical features that people have, such as height, weight, or eye color?"
166,computer programming,are you interested in a coding bootcamp,What specific type of computer programming are you interested in learning or working with?,"What significant developments or milestones have occurred in the history and evolution of computer programming, such as the introduction of new programming languages or paradigms?"
167,barbados,are you interested in barbados flag,"Barbados could be, ""What specific details or information are you looking for regarding Barbados?",What is the capital city of Barbados?
168,lipoma,are you looking for a clinic for lipoma treatment,"A lipoma is a type of fatty tumor, can you provide more details about its location on the body?",What criteria are used to diagnose and classify various mental health disorders?
169,battles in the civil war,are you looking for a confederate victory,What specific battles during the Civil War are you looking for more information on?,"What was the total length of time that World War II lasted, from its beginning in 1939 to its end in 1945?"
17,poker tournaments,are you interested in learning how to play poker,Poker tournaments are typically held in what type of venues?,What is the percentage of the prize pool that will be awarded to the first place winner in the competition?
170,scooters,are you interested in scooter laws,What type of scooter are you looking for?,What are the key features and technical specifications of [product/device/technology] that make it stand out in its category?
171,ron howard,are you interested in ron howards life story and career highlights,Who is Ron Howard?,What are some notable achievements or significant events in your career that you would consider as career milestones?
172,becoming a paralegal,are you interested in law school,"What specific steps are involved in pursuing a career as a paralegal, such as obtaining education or gaining experience?","What factors influence job availability, competition for positions, and average salaries in various industries?"
173,hip fractures,are you interested in any specific statistics for fractures,"hip fractures could be, ""Can you provide more details on what specifically you would like to know or understand about hip fractures?",What are the common symptoms associated with [illness or condition] that led to its diagnosis?
174,rock art,are you going to purchase any specific tools,Where is this specific example of rock art located?,What city or region are you located in?
175,signs of a heartattack,are you at risk for having a heart attack,What specific symptoms or warning signs should someone look out for when suspecting they are experiencing a heart attack?,What are some common risk factors associated with developing heart disease?
176,weather strip,are you interested in weather strips for doors,"What type of material is typically used for weather stripping, such as vinyl or rubber?","Who are Barack Obama's parents, grandparents, and other ancestors?"
177,best long term care insurance,are you interested in comparing coverage prices,What specific features or benefits should I consider when choosing the best long-term care insurance policy for my situation?,What types of healthcare providers are typically included in provider networks for health insurance plans?
178,pork tenderloin,are you interested in a pork recipe,What specific preparation method or seasoning would you like to know more about for cooking pork tenderloin?,What is the story behind the creation and popularity of pork tenderloin as a dish?
179,black history,are you interested in black celebrities,"""What specific aspects of Black history are you interested in learning more about?",What cultural contributions have [person/entity] made to society?
