topic_id,topic,question,Baseline,Proposed
10,cheap internet,are you wondering how to reduce your internet bill,The cheapest type of internet service available in my area is,What are the different types of renewable energy sources that can be used to generate electricity?
10,cheap internet,are you wondering where cheap internet is,The cheapest type of internet service available in my area is,What are the different types of renewable energy sources that can be used to generate electricity?
10,cheap internet,are you wondering which provider has the cheapest internet,The cheapest type of internet service available in my area is,What are the different types of renewable energy sources that can be used to generate electricity?
10,cheap internet,,The cheapest type of internet service available in my area is,What are the different types of renewable energy sources that can be used to generate electricity?
101,ritz carlton lake las vegas,are you looking for a specific web site,The Ritz Carlton Lake Las Vegas is located on which side of the lake?,What nearby attractions can I visit while staying in this area?
101,ritz carlton lake las vegas,would you like the history of ritz carlton lake las vegas,The Ritz Carlton Lake Las Vegas is located on which side of the lake?,What nearby attractions can I visit while staying in this area?
101,ritz carlton lake las vegas,would you like the location of the ritz carlton lake las vegas,The Ritz Carlton Lake Las Vegas is located on which side of the lake?,What nearby attractions can I visit while staying in this area?
101,ritz carlton lake las vegas,would you like to know the capacity of ritz carlton lake las vegas,The Ritz Carlton Lake Las Vegas is located on which side of the lake?,What nearby attractions can I visit while staying in this area?
101,ritz carlton lake las vegas,would you like to know where ritz carlton lake las vegas is on a map,The Ritz Carlton Lake Las Vegas is located on which side of the lake?,What nearby attractions can I visit while staying in this area?
101,ritz carlton lake las vegas,would you like to read some reviews of the ritz carlton lake las vegas,The Ritz Carlton Lake Las Vegas is located on which side of the lake?,What nearby attractions can I visit while staying in this area?
101,ritz carlton lake las vegas,are you looking for any specific games to play there,The Ritz Carlton Lake Las Vegas is located on which side of the lake?,What nearby attractions can I visit while staying in this area?
101,ritz carlton lake las vegas,are you looking for directions to the ritz carlton in las vegas,The Ritz Carlton Lake Las Vegas is located on which side of the lake?,What nearby attractions can I visit while staying in this area?
101,ritz carlton lake las vegas,are you looking for the closest lake to the ritz carlton in las vegas,The Ritz Carlton Lake Las Vegas is located on which side of the lake?,What nearby attractions can I visit while staying in this area?
101,ritz carlton lake las vegas,are you wanting a room at the ritz carlton in las vegas,The Ritz Carlton Lake Las Vegas is located on which side of the lake?,What nearby attractions can I visit while staying in this area?
101,ritz carlton lake las vegas,are you wanting the rates for the ritz carlton in las vegas,The Ritz Carlton Lake Las Vegas is located on which side of the lake?,What nearby attractions can I visit while staying in this area?
101,ritz carlton lake las vegas,are you wondering where the ritz carlton in las vegas is located,The Ritz Carlton Lake Las Vegas is located on which side of the lake?,What nearby attractions can I visit while staying in this area?
101,ritz carlton lake las vegas,do you need a reservation at the ritz carlton in las vegas,The Ritz Carlton Lake Las Vegas is located on which side of the lake?,What nearby attractions can I visit while staying in this area?
101,ritz carlton lake las vegas,do you want historical information on the ritz carlton lake las vegas,The Ritz Carlton Lake Las Vegas is located on which side of the lake?,What nearby attractions can I visit while staying in this area?
101,ritz carlton lake las vegas,,The Ritz Carlton Lake Las Vegas is located on which side of the lake?,What nearby attractions can I visit while staying in this area?
102,fickle creek farm,are you going to purchase anything there,What type of activities or produce does Fickle Creek Farm specialize in?,What is your email address?
102,fickle creek farm,are you looking for a place which sales products from fickle creek farm,What type of activities or produce does Fickle Creek Farm specialize in?,What is your email address?
102,fickle creek farm,are you looking for information about staying at fickle creek farm,What type of activities or produce does Fickle Creek Farm specialize in?,What is your email address?
102,fickle creek farm,are you looking for specific information regarding fickle creek farm,What type of activities or produce does Fickle Creek Farm specialize in?,What is your email address?
102,fickle creek farm,do you want the history of fickle creek farm,What type of activities or produce does Fickle Creek Farm specialize in?,What is your email address?
102,fickle creek farm,do you want to know the animal population at fickle creek farm,What type of activities or produce does Fickle Creek Farm specialize in?,What is your email address?
102,fickle creek farm,do you want to know the location of fickle creek farm,What type of activities or produce does Fickle Creek Farm specialize in?,What is your email address?
102,fickle creek farm,would you like to know where fickle creek farm is on a map,What type of activities or produce does Fickle Creek Farm specialize in?,What is your email address?
102,fickle creek farm,,What type of activities or produce does Fickle Creek Farm specialize in?,What is your email address?
103,madam cj walker,are you looking for sarah breedlove,"Who was Madam C.J. Walker, and what were her contributions in the field of hair care and entrepreneurship?",What types of hair care products are commonly used in beauty salons for different hair textures?
103,madam cj walker,would you like to know the birthplace of madam cj walker,"Who was Madam C.J. Walker, and what were her contributions in the field of hair care and entrepreneurship?",What types of hair care products are commonly used in beauty salons for different hair textures?
103,madam cj walker,would you like to see examples of walkers impact on current hair styling,"Who was Madam C.J. Walker, and what were her contributions in the field of hair care and entrepreneurship?",What types of hair care products are commonly used in beauty salons for different hair textures?
103,madam cj walker,would you like to see facts about madam cj walkers early life,"Who was Madam C.J. Walker, and what were her contributions in the field of hair care and entrepreneurship?",What types of hair care products are commonly used in beauty salons for different hair textures?
103,madam cj walker,would you like to see more early africanamerican entrepeneurs,"Who was Madam C.J. Walker, and what were her contributions in the field of hair care and entrepreneurship?",What types of hair care products are commonly used in beauty salons for different hair textures?
103,madam cj walker,are you looking for any specific information about the business she started,"Who was Madam C.J. Walker, and what were her contributions in the field of hair care and entrepreneurship?",What types of hair care products are commonly used in beauty salons for different hair textures?
103,madam cj walker,are you looking for her whereabouts,"Who was Madam C.J. Walker, and what were her contributions in the field of hair care and entrepreneurship?",What types of hair care products are commonly used in beauty salons for different hair textures?
103,madam cj walker,do you want more information on the history of madam cj walker,"Who was Madam C.J. Walker, and what were her contributions in the field of hair care and entrepreneurship?",What types of hair care products are commonly used in beauty salons for different hair textures?
103,madam cj walker,do you want to know what madam cj walker invented,"Who was Madam C.J. Walker, and what were her contributions in the field of hair care and entrepreneurship?",What types of hair care products are commonly used in beauty salons for different hair textures?
103,madam cj walker,do you want to know what madam cj walker is famous for,"Who was Madam C.J. Walker, and what were her contributions in the field of hair care and entrepreneurship?",What types of hair care products are commonly used in beauty salons for different hair textures?
103,madam cj walker,would you like historical information on madam cj walker,"Who was Madam C.J. Walker, and what were her contributions in the field of hair care and entrepreneurship?",What types of hair care products are commonly used in beauty salons for different hair textures?
103,madam cj walker,would you like to know about madam cj walkers products,"Who was Madam C.J. Walker, and what were her contributions in the field of hair care and entrepreneurship?",What types of hair care products are commonly used in beauty salons for different hair textures?
103,madam cj walker,would you like to know about walkers method of perming hair,"Who was Madam C.J. Walker, and what were her contributions in the field of hair care and entrepreneurship?",What types of hair care products are commonly used in beauty salons for different hair textures?
103,madam cj walker,,"Who was Madam C.J. Walker, and what were her contributions in the field of hair care and entrepreneurship?",What types of hair care products are commonly used in beauty salons for different hair textures?
104,indiana child support,are you interested in indiana child support,What specific details about Indiana child support are you looking for?,What are the Indiana child support guidelines and tables used for calculating child support payments?
104,indiana child support,which counties law would you like clarification on,What specific details about Indiana child support are you looking for?,What are the Indiana child support guidelines and tables used for calculating child support payments?
104,indiana child support,would you like a list of forms for processing child support claims,What specific details about Indiana child support are you looking for?,What are the Indiana child support guidelines and tables used for calculating child support payments?
104,indiana child support,would you like details on how to pay child support,What specific details about Indiana child support are you looking for?,What are the Indiana child support guidelines and tables used for calculating child support payments?
104,indiana child support,are you interested in a calculator for child support payments,What specific details about Indiana child support are you looking for?,What are the Indiana child support guidelines and tables used for calculating child support payments?
104,indiana child support,are you interested in child support resources,What specific details about Indiana child support are you looking for?,What are the Indiana child support guidelines and tables used for calculating child support payments?
104,indiana child support,are you interested in getting details on finding a lawyer for child support,What specific details about Indiana child support are you looking for?,What are the Indiana child support guidelines and tables used for calculating child support payments?
104,indiana child support,are you seeking support of a child in indiana,What specific details about Indiana child support are you looking for?,What are the Indiana child support guidelines and tables used for calculating child support payments?
104,indiana child support,do you owe child support in indiana,What specific details about Indiana child support are you looking for?,What are the Indiana child support guidelines and tables used for calculating child support payments?
104,indiana child support,do you pay child support in indiana,What specific details about Indiana child support are you looking for?,What are the Indiana child support guidelines and tables used for calculating child support payments?
104,indiana child support,do you want to know about a specific indiana child support law,What specific details about Indiana child support are you looking for?,What are the Indiana child support guidelines and tables used for calculating child support payments?
104,indiana child support,do you want wording of child support laws,What specific details about Indiana child support are you looking for?,What are the Indiana child support guidelines and tables used for calculating child support payments?
104,indiana child support,,What specific details about Indiana child support are you looking for?,What are the Indiana child support guidelines and tables used for calculating child support payments?
105,sonoma county medical services,are you interested in the human services department,What specific type of medical services are available in Sonoma County?,What services do they offer that are not included in their current offerings?
105,sonoma county medical services,is this for an emergancy,What specific type of medical services are available in Sonoma County?,What services do they offer that are not included in their current offerings?
105,sonoma county medical services,would you like the different services that are provided,What specific type of medical services are available in Sonoma County?,What services do they offer that are not included in their current offerings?
105,sonoma county medical services,are you looking for contact information,What specific type of medical services are available in Sonoma County?,What services do they offer that are not included in their current offerings?
105,sonoma county medical services,are you looking for employment with sonoma country medical,What specific type of medical services are available in Sonoma County?,What services do they offer that are not included in their current offerings?
105,sonoma county medical services,are you looking for specific program information,What specific type of medical services are available in Sonoma County?,What services do they offer that are not included in their current offerings?
105,sonoma county medical services,do you need addresses,What specific type of medical services are available in Sonoma County?,What services do they offer that are not included in their current offerings?
105,sonoma county medical services,do you need any specific information on health insurance,What specific type of medical services are available in Sonoma County?,What services do they offer that are not included in their current offerings?
105,sonoma county medical services,do you want information on the differenct services that are provided,What specific type of medical services are available in Sonoma County?,What services do they offer that are not included in their current offerings?
105,sonoma county medical services,how soon is this needed,What specific type of medical services are available in Sonoma County?,What services do they offer that are not included in their current offerings?
105,sonoma county medical services,is there a specific program you are looking for,What specific type of medical services are available in Sonoma County?,What services do they offer that are not included in their current offerings?
105,sonoma county medical services,,What specific type of medical services are available in Sonoma County?,What services do they offer that are not included in their current offerings?
106,universal animal cuts reviews,did universal animal cuts work for you,What specific types of animal cuts are being reviewed in these universal reviews?,What factors do customers consider when evaluating reviews and ratings for a product?
106,universal animal cuts reviews,would you like to review universal animal cuts,What specific types of animal cuts are being reviewed in these universal reviews?,What factors do customers consider when evaluating reviews and ratings for a product?
106,universal animal cuts reviews,would you like to see comparable products to universal animal cuts,What specific types of animal cuts are being reviewed in these universal reviews?,What factors do customers consider when evaluating reviews and ratings for a product?
106,universal animal cuts reviews,would you like to see the lowest reviews for universal animal cuts,What specific types of animal cuts are being reviewed in these universal reviews?,What factors do customers consider when evaluating reviews and ratings for a product?
106,universal animal cuts reviews,would you like to see the top reviews for universal animal cuts,What specific types of animal cuts are being reviewed in these universal reviews?,What factors do customers consider when evaluating reviews and ratings for a product?
106,universal animal cuts reviews,did you want to know if anyone near you has tried it,What specific types of animal cuts are being reviewed in these universal reviews?,What factors do customers consider when evaluating reviews and ratings for a product?
106,universal animal cuts reviews,did you want to know if it was effective for different levels of weight,What specific types of animal cuts are being reviewed in these universal reviews?,What factors do customers consider when evaluating reviews and ratings for a product?
106,universal animal cuts reviews,did you want to know if the price was worth it,What specific types of animal cuts are being reviewed in these universal reviews?,What factors do customers consider when evaluating reviews and ratings for a product?
106,universal animal cuts reviews,were you interested in how much weight people lost,What specific types of animal cuts are being reviewed in these universal reviews?,What factors do customers consider when evaluating reviews and ratings for a product?
106,universal animal cuts reviews,were you interested in the side effects of universal animal cuts,What specific types of animal cuts are being reviewed in these universal reviews?,What factors do customers consider when evaluating reviews and ratings for a product?
106,universal animal cuts reviews,were you wondering about how universal animal cuts works,What specific types of animal cuts are being reviewed in these universal reviews?,What factors do customers consider when evaluating reviews and ratings for a product?
106,universal animal cuts reviews,why are you looking to add supplements to your diet,What specific types of animal cuts are being reviewed in these universal reviews?,What factors do customers consider when evaluating reviews and ratings for a product?
106,universal animal cuts reviews,would you like to purchase universal animal cuts,What specific types of animal cuts are being reviewed in these universal reviews?,What factors do customers consider when evaluating reviews and ratings for a product?
106,universal animal cuts reviews,,What specific types of animal cuts are being reviewed in these universal reviews?,What factors do customers consider when evaluating reviews and ratings for a product?
107,cass county missouri,are you interested in a list of homes for sale in cass county,"What specific features or locations within Cass County, Missouri are you interested in learning more about?",What factors contribute to the growth of tourism in a particular region?
107,cass county missouri,is there any specific information that you are looking for,"What specific features or locations within Cass County, Missouri are you interested in learning more about?",What factors contribute to the growth of tourism in a particular region?
107,cass county missouri,there are some interesting historical facts about cass county shall i show them to you,"What specific features or locations within Cass County, Missouri are you interested in learning more about?",What factors contribute to the growth of tourism in a particular region?
107,cass county missouri,which neighborhood in cass county are you interested in,"What specific features or locations within Cass County, Missouri are you interested in learning more about?",What factors contribute to the growth of tourism in a particular region?
107,cass county missouri,which part of cass county are you referring to,"What specific features or locations within Cass County, Missouri are you interested in learning more about?",What factors contribute to the growth of tourism in a particular region?
107,cass county missouri,would you like to know more about the city,"What specific features or locations within Cass County, Missouri are you interested in learning more about?",What factors contribute to the growth of tourism in a particular region?
107,cass county missouri,are you looking for a specific part of missouri,"What specific features or locations within Cass County, Missouri are you interested in learning more about?",What factors contribute to the growth of tourism in a particular region?
107,cass county missouri,are you looking for government service,"What specific features or locations within Cass County, Missouri are you interested in learning more about?",What factors contribute to the growth of tourism in a particular region?
107,cass county missouri,are you looking for places to eat in cass county missouri,"What specific features or locations within Cass County, Missouri are you interested in learning more about?",What factors contribute to the growth of tourism in a particular region?
107,cass county missouri,can i help you find something on a map,"What specific features or locations within Cass County, Missouri are you interested in learning more about?",What factors contribute to the growth of tourism in a particular region?
107,cass county missouri,do you have travel plans,"What specific features or locations within Cass County, Missouri are you interested in learning more about?",What factors contribute to the growth of tourism in a particular region?
107,cass county missouri,do you want to know about the crime rate in cass county missouri,"What specific features or locations within Cass County, Missouri are you interested in learning more about?",What factors contribute to the growth of tourism in a particular region?
107,cass county missouri,do you want to know about the schools in cass county missouri,"What specific features or locations within Cass County, Missouri are you interested in learning more about?",What factors contribute to the growth of tourism in a particular region?
107,cass county missouri,is there any important documents youre trying to access,"What specific features or locations within Cass County, Missouri are you interested in learning more about?",What factors contribute to the growth of tourism in a particular region?
107,cass county missouri,,"What specific features or locations within Cass County, Missouri are you interested in learning more about?",What factors contribute to the growth of tourism in a particular region?
108,ralph owen brewster,are you interested in learning more about ralph owen brewseter,Who was Ralph Owen Brewster?,What are the birth and death dates of the individual in question?
108,ralph owen brewster,would you like to know the political positions ralph owen brewster held,Who was Ralph Owen Brewster?,What are the birth and death dates of the individual in question?
108,ralph owen brewster,would you like to know what movie star portrayed brewster in the movie the aviator and what award the movie star was nominated for the performance,Who was Ralph Owen Brewster?,What are the birth and death dates of the individual in question?
108,ralph owen brewster,would you like to know what political party ralph owen brewster was affiliated with,Who was Ralph Owen Brewster?,What are the birth and death dates of the individual in question?
108,ralph owen brewster,how old is ralph owen brewseter,Who was Ralph Owen Brewster?,What are the birth and death dates of the individual in question?
108,ralph owen brewster,may i provide you with information regarding when ralph owen brewster died and cause of death,Who was Ralph Owen Brewster?,What are the birth and death dates of the individual in question?
108,ralph owen brewster,may i tell you about brewsters parents where and when he was born,Who was Ralph Owen Brewster?,What are the birth and death dates of the individual in question?
108,ralph owen brewster,what is ralph owen brewser famous for,Who was Ralph Owen Brewster?,What are the birth and death dates of the individual in question?
108,ralph owen brewster,what is ralph owen brewsters background,Who was Ralph Owen Brewster?,What are the birth and death dates of the individual in question?
108,ralph owen brewster,what is ralph owen brewsters education,Who was Ralph Owen Brewster?,What are the birth and death dates of the individual in question?
108,ralph owen brewster,who is ralph owen brewster,Who was Ralph Owen Brewster?,What are the birth and death dates of the individual in question?
108,ralph owen brewster,would you like to know about brewsters college education degree and work history,Who was Ralph Owen Brewster?,What are the birth and death dates of the individual in question?
108,ralph owen brewster,,Who was Ralph Owen Brewster?,What are the birth and death dates of the individual in question?
109,mayo clinic jacksonville fl,are you interested in jobs at mayo clinic jacksonville fl,"What specific services or departments does the Mayo Clinic in Jacksonville, FL offer?",What is your email address?
109,mayo clinic jacksonville fl,which department are you interested in at mayo clinic jacksonville fl,"What specific services or departments does the Mayo Clinic in Jacksonville, FL offer?",What is your email address?
109,mayo clinic jacksonville fl,which treatments are you looking for at mayo clinic jacksonville fl,"What specific services or departments does the Mayo Clinic in Jacksonville, FL offer?",What is your email address?
109,mayo clinic jacksonville fl,would you like to know more about the mayo clinic facilities and services,"What specific services or departments does the Mayo Clinic in Jacksonville, FL offer?",What is your email address?
109,mayo clinic jacksonville fl,would you like to know the address of mayo clinic jacksonville fl,"What specific services or departments does the Mayo Clinic in Jacksonville, FL offer?",What is your email address?
109,mayo clinic jacksonville fl,would you like to know the phone number of mayo clinic jacksonville fl,"What specific services or departments does the Mayo Clinic in Jacksonville, FL offer?",What is your email address?
109,mayo clinic jacksonville fl,would you like to request an appointment,"What specific services or departments does the Mayo Clinic in Jacksonville, FL offer?",What is your email address?
109,mayo clinic jacksonville fl,are you located in jacksonville fl,"What specific services or departments does the Mayo Clinic in Jacksonville, FL offer?",What is your email address?
109,mayo clinic jacksonville fl,are you looking for a specific doctor at mayo clinic jacksonville fl,"What specific services or departments does the Mayo Clinic in Jacksonville, FL offer?",What is your email address?
109,mayo clinic jacksonville fl,are you looking for outpatient services in mayo clinic,"What specific services or departments does the Mayo Clinic in Jacksonville, FL offer?",What is your email address?
109,mayo clinic jacksonville fl,are you wanting to visit this hospital because of a friend or family,"What specific services or departments does the Mayo Clinic in Jacksonville, FL offer?",What is your email address?
109,mayo clinic jacksonville fl,have you been to this clinic before,"What specific services or departments does the Mayo Clinic in Jacksonville, FL offer?",What is your email address?
109,mayo clinic jacksonville fl,is there a medical condition that you are looking heal,"What specific services or departments does the Mayo Clinic in Jacksonville, FL offer?",What is your email address?
109,mayo clinic jacksonville fl,is this an emergency,"What specific services or departments does the Mayo Clinic in Jacksonville, FL offer?",What is your email address?
109,mayo clinic jacksonville fl,what time are you wanting to visit this clinic,"What specific services or departments does the Mayo Clinic in Jacksonville, FL offer?",What is your email address?
109,mayo clinic jacksonville fl,,"What specific services or departments does the Mayo Clinic in Jacksonville, FL offer?",What is your email address?
11,gmat prep classes,any specific company on your mind,"What specific type of Gmat Prep class do you prefer, in-person or online?","What is the breakdown of topics covered in each module of the course, and how are they organized within the overall structure?"
11,gmat prep classes,what score would you like to achieve on the gmat test,"What specific type of Gmat Prep class do you prefer, in-person or online?","What is the breakdown of topics covered in each module of the course, and how are they organized within the overall structure?"
11,gmat prep classes,when do you want to take a gmat prep class,"What specific type of Gmat Prep class do you prefer, in-person or online?","What is the breakdown of topics covered in each module of the course, and how are they organized within the overall structure?"
11,gmat prep classes,would you like to know more about the gmat test,"What specific type of Gmat Prep class do you prefer, in-person or online?","What is the breakdown of topics covered in each module of the course, and how are they organized within the overall structure?"
11,gmat prep classes,would you like to know what distinguishes gmat from gre,"What specific type of Gmat Prep class do you prefer, in-person or online?","What is the breakdown of topics covered in each module of the course, and how are they organized within the overall structure?"
11,gmat prep classes,would you like to see a price range for gmat prep classes,"What specific type of Gmat Prep class do you prefer, in-person or online?","What is the breakdown of topics covered in each module of the course, and how are they organized within the overall structure?"
11,gmat prep classes,would you like to see the most effective methods of gmat prep,"What specific type of Gmat Prep class do you prefer, in-person or online?","What is the breakdown of topics covered in each module of the course, and how are they organized within the overall structure?"
11,gmat prep classes,are you looking for a specific web site,"What specific type of Gmat Prep class do you prefer, in-person or online?","What is the breakdown of topics covered in each module of the course, and how are they organized within the overall structure?"
11,gmat prep classes,are you looking for an online or inperson gmat prep class,"What specific type of Gmat Prep class do you prefer, in-person or online?","What is the breakdown of topics covered in each module of the course, and how are they organized within the overall structure?"
11,gmat prep classes,are you looking for gmat prep classes near you,"What specific type of Gmat Prep class do you prefer, in-person or online?","What is the breakdown of topics covered in each module of the course, and how are they organized within the overall structure?"
11,gmat prep classes,are you looking for reviews of gmat prep classes,"What specific type of Gmat Prep class do you prefer, in-person or online?","What is the breakdown of topics covered in each module of the course, and how are they organized within the overall structure?"
11,gmat prep classes,are you looking for some sample tests,"What specific type of Gmat Prep class do you prefer, in-person or online?","What is the breakdown of topics covered in each module of the course, and how are they organized within the overall structure?"
11,gmat prep classes,do you feel unprepared for the gmat test,"What specific type of Gmat Prep class do you prefer, in-person or online?","What is the breakdown of topics covered in each module of the course, and how are they organized within the overall structure?"
11,gmat prep classes,do you want to know a list of top gmat prep classes,"What specific type of Gmat Prep class do you prefer, in-person or online?","What is the breakdown of topics covered in each module of the course, and how are they organized within the overall structure?"
11,gmat prep classes,do you want to know the cost of a gmat prep class,"What specific type of Gmat Prep class do you prefer, in-person or online?","What is the breakdown of topics covered in each module of the course, and how are they organized within the overall structure?"
11,gmat prep classes,,"What specific type of Gmat Prep class do you prefer, in-person or online?","What is the breakdown of topics covered in each module of the course, and how are they organized within the overall structure?"
110,map of brazil,are you planning a trip to brazil,"What specific type of map are you looking for, such as road maps, political maps, or topographic maps?",What factors have contributed to the political divisions within that country?
110,map of brazil,would you like a book that has lots of maps of brazil,"What specific type of map are you looking for, such as road maps, political maps, or topographic maps?",What factors have contributed to the political divisions within that country?
110,map of brazil,would you like a transportation map of brazil,"What specific type of map are you looking for, such as road maps, political maps, or topographic maps?",What factors have contributed to the political divisions within that country?
110,map of brazil,would you like to see a specific region of brazil,"What specific type of map are you looking for, such as road maps, political maps, or topographic maps?",What factors have contributed to the political divisions within that country?
110,map of brazil,would you like to know about brazil political jurisdictions boundaries,"What specific type of map are you looking for, such as road maps, political maps, or topographic maps?",What factors have contributed to the political divisions within that country?
110,map of brazil,would you like to know information about vacation in brazil,"What specific type of map are you looking for, such as road maps, political maps, or topographic maps?",What factors have contributed to the political divisions within that country?
110,map of brazil,are you searching for a map that shows the bodies of water in brazil,"What specific type of map are you looking for, such as road maps, political maps, or topographic maps?",What factors have contributed to the political divisions within that country?
110,map of brazil,do you need to know where to find a map of brazil,"What specific type of map are you looking for, such as road maps, political maps, or topographic maps?",What factors have contributed to the political divisions within that country?
110,map of brazil,do you want a map of the roads in brazil,"What specific type of map are you looking for, such as road maps, political maps, or topographic maps?",What factors have contributed to the political divisions within that country?
110,map of brazil,do you want to know an app that has maps of brazil,"What specific type of map are you looking for, such as road maps, political maps, or topographic maps?",What factors have contributed to the political divisions within that country?
110,map of brazil,what are you trying to find in brazil,"What specific type of map are you looking for, such as road maps, political maps, or topographic maps?",What factors have contributed to the political divisions within that country?
110,map of brazil,what city are you looking for in brazil,"What specific type of map are you looking for, such as road maps, political maps, or topographic maps?",What factors have contributed to the political divisions within that country?
110,map of brazil,what would you like to know about brazil,"What specific type of map are you looking for, such as road maps, political maps, or topographic maps?",What factors have contributed to the political divisions within that country?
110,map of brazil,which part of brazil do you need a map for,"What specific type of map are you looking for, such as road maps, political maps, or topographic maps?",What factors have contributed to the political divisions within that country?
110,map of brazil,,"What specific type of map are you looking for, such as road maps, political maps, or topographic maps?",What factors have contributed to the political divisions within that country?
111,lymphoma in dogs,are you interested in the treatment costs of lymphoma in dogs,"What specific type of lymphoma is present in your dog, and what are its symptoms?","What is the average five-year survival rate for patients with this condition, according to recent medical studies?"
111,lymphoma in dogs,do you want to know the cost of treatment,"What specific type of lymphoma is present in your dog, and what are its symptoms?","What is the average five-year survival rate for patients with this condition, according to recent medical studies?"
111,lymphoma in dogs,do you want to know the nearest vet that can help,"What specific type of lymphoma is present in your dog, and what are its symptoms?","What is the average five-year survival rate for patients with this condition, according to recent medical studies?"
111,lymphoma in dogs,which state of lymphoma in dogs are you referring to,"What specific type of lymphoma is present in your dog, and what are its symptoms?","What is the average five-year survival rate for patients with this condition, according to recent medical studies?"
111,lymphoma in dogs,would you like to know about risk factors of lymphoma in dogs,"What specific type of lymphoma is present in your dog, and what are its symptoms?","What is the average five-year survival rate for patients with this condition, according to recent medical studies?"
111,lymphoma in dogs,are you looking for the symptoms of lymphoma in dogs,"What specific type of lymphoma is present in your dog, and what are its symptoms?","What is the average five-year survival rate for patients with this condition, according to recent medical studies?"
